"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","94.296","94.100","94.301","94.110","","0.20%"
"04/23/2026","94.110","94.010","94.158","94.005","","0.33%"
"04/22/2026","93.800","93.495","93.869","93.494","","0.33%"
"04/21/2026","93.495","93.120","93.631","93.120","","0.40%"
"04/20/2026","93.120","92.710","93.243","92.631","","0.56%"
"04/17/2026","92.603","93.140","93.140","92.444","","-0.48%"
"04/16/2026","93.053","93.260","93.407","92.926","","-0.36%"
"04/15/2026","93.385","93.106","93.503","93.074","","0.24%"
"04/14/2026","93.165","93.156","93.407","93.016","","-0.07%"
"04/13/2026","93.233","93.318","93.431","93.120","","0.15%"
"04/10/2026","93.090","92.683","93.092","92.409","","0.67%"
"04/09/2026","92.470","92.570","92.915","92.313","","-0.12%"
"04/08/2026","92.585","92.860","92.860","92.333","","-0.30%"
"04/07/2026","92.867","93.008","93.075","92.818","","-0.21%"
"04/06/2026","93.065","92.838","93.204","92.716","","0.38%"
"04/03/2026","92.710","92.952","92.803","92.614","","-0.29%"
"04/02/2026","92.978","93.279","93.691","92.797","","-0.27%"
"04/01/2026","93.226","93.627","93.890","93.022","","-0.28%"
"03/31/2026","93.485","94.373","94.380","93.432","","-0.95%"
"03/30/2026","94.379","93.048","95.220","93.032","","-0.43%"
"03/27/2026","94.782","94.298","94.988","94.116","","0.52%"
"03/26/2026","94.288","93.800","94.301","93.800","","0.41%"
"03/25/2026","93.906","93.990","94.214","93.763","","-0.15%"
"03/24/2026","94.043","93.505","94.141","93.505","","0.89%"
"03/23/2026","93.212","93.743","94.137","92.911","","-0.51%"
"03/20/2026","93.692","92.924","93.826","92.834","","0.84%"
"03/19/2026","92.911","93.027","93.384","92.859","","-0.23%"
"03/18/2026","93.129","92.407","93.129","92.340","","0.79%"
"03/17/2026","92.395","92.240","92.491","92.240","","0.14%"
"03/16/2026","92.264","92.449","92.483","92.147","","-0.30%"
"03/13/2026","92.540","92.366","92.572","92.240","","0.16%"
"03/12/2026","92.388","92.243","92.506","92.055","","0.17%"
"03/11/2026","92.229","91.899","92.258","91.837","","0.28%"
"03/10/2026","91.974","91.851","92.204","91.674","","-0.20%"
"03/09/2026","92.155","92.330","92.386","92.113","","0.24%"
"03/06/2026","91.933","91.662","92.012","91.570","","0.16%"
"03/05/2026","91.787","92.132","92.165","91.335","","-0.36%"
"03/04/2026","92.123","92.012","92.311","91.880","","0.08%"
"03/03/2026","92.050","91.560","92.239","91.560","","0.51%"
"03/02/2026","91.585","91.234","91.774","91.167","","0.56%"
"02/27/2026","91.076","91.022","91.142","90.915","","0.09%"
"02/26/2026","90.993","90.941","91.078","90.806","","0.11%"
"02/25/2026","90.894","90.913","90.970","90.863","","-0.03%"
"02/24/2026","90.918","91.026","91.032","90.855","","-0.11%"
"02/23/2026","91.016","90.765","91.034","90.680","","0.32%"
"02/20/2026","90.730","91.042","91.088","90.721","","-0.34%"
"02/19/2026","91.038","90.793","91.211","90.700","","0.26%"
"02/18/2026","90.804","90.627","90.809","90.575","","0.19%"
"02/17/2026","90.632","90.784","90.804","90.607","","-0.16%"
"02/16/2026","90.779","90.596","90.832","90.536","","0.25%"
"02/13/2026","90.555","90.613","90.762","90.516","","-0.01%"
"02/12/2026","90.564","90.672","90.732","90.390","","-0.19%"
"02/11/2026","90.736","90.587","90.846","90.465","","0.16%"
"02/10/2026","90.588","90.793","90.798","90.470","","-0.19%"
"02/09/2026","90.756","90.518","90.811","90.373","","0.18%"
"02/06/2026","90.596","90.315","90.845","90.173","","0.31%"
"02/05/2026","90.319","90.362","90.521","90.063","","-0.08%"
"02/04/2026","90.391","90.377","90.535","90.233","","-0.04%"
"02/03/2026","90.423","90.328","90.520","90.022","","-0.94%"
"02/02/2026","91.285","91.778","92.023","91.280","","-0.45%"
"01/30/2026","91.694","91.870","92.027","91.667","","-0.10%"
"01/29/2026","91.782","92.031","92.129","91.779","","-0.28%"
"01/28/2026","92.043","91.540","92.220","91.418","","0.62%"
"01/27/2026","91.474","91.775","91.896","91.472","","-0.26%"
"01/26/2026","91.713","91.531","91.790","91.500","","0.04%"
"01/23/2026","91.675","91.559","91.988","91.415","","0.11%"
"01/22/2026","91.570","91.537","91.681","91.279","","0.03%"
"01/21/2026","91.546","91.055","91.753","90.998","","0.47%"
"01/20/2026","91.119","90.905","91.119","90.871","","0.24%"
"01/19/2026","90.902","90.717","91.015","90.610","","0.21%"
"01/16/2026","90.709","90.318","90.891","90.318","","0.38%"
"01/15/2026","90.362","90.190","90.439","90.181","","0.13%"
"01/14/2026","90.248","90.265","90.391","89.983","","-0.04%"
"01/13/2026","90.282","90.233","90.351","90.165","","0.17%"
"01/12/2026","90.132","90.257","90.272","90.117","","-0.12%"
"01/09/2026","90.244","89.883","90.318","89.855","","0.38%"
"01/08/2026","89.905","89.852","90.132","89.730","","0.05%"
"01/07/2026","89.864","90.166","90.232","89.807","","-0.27%"
"01/06/2026","90.108","90.231","90.264","90.050","","-0.14%"
"01/05/2026","90.233","90.131","90.311","90.095","","0.24%"
"01/02/2026","90.014","89.942","90.255","89.864","","0.05%"
"01/01/2026","89.968","89.955","89.993","89.865","","0.11%"
"12/31/2025","89.871","89.780","90.001","89.727","","0.11%"
"12/30/2025","89.770","89.974","90.020","89.687","","-0.14%"
"12/29/2025","89.900","89.837","89.993","89.830","","0.12%"
"12/26/2025","89.796","89.753","89.962","89.697","","0.07%"
"12/25/2025","89.736","89.735","89.736","89.735","","-0.09%"
"12/24/2025","89.814","89.534","89.860","89.419","","0.42%"
"12/23/2025","89.436","89.563","89.851","89.411","","-0.19%"
"12/22/2025","89.604","89.542","89.768","89.446","","0.03%"
"12/19/2025","89.577","90.238","90.302","89.255","","-0.76%"
"12/18/2025","90.267","90.389","90.464","90.042","","-0.16%"
"12/17/2025","90.409","91.020","91.075","89.906","","-0.59%"
"12/16/2025","90.949","90.777","91.082","90.710","","0.19%"
"12/15/2025","90.775","90.550","90.793","90.510","","0.21%"
"12/12/2025","90.584","90.188","90.652","90.174","","0.37%"
"12/11/2025","90.251","89.875","90.488","89.846","","0.51%"
"12/10/2025","89.793","89.908","90.084","89.763","","-0.14%"
"12/09/2025","89.917","90.130","90.207","89.825","","-0.24%"
"12/08/2025","90.130","89.962","90.267","89.962","","0.21%"
"12/05/2025","89.945","89.900","90.076","89.700","","0.12%"
"12/04/2025","89.837","90.150","90.462","89.726","","-0.37%"
"12/03/2025","90.171","89.923","90.329","89.857","","0.28%"
"12/02/2025","89.918","89.606","90.014","89.591","","0.34%"
"12/01/2025","89.613","89.325","89.800","89.325","","0.29%"
"11/28/2025","89.357","89.361","89.516","89.316","","-0.01%"
"11/27/2025","89.365","89.161","89.409","89.116","","0.23%"
"11/26/2025","89.161","89.170","89.288","89.146","","0.01%"
"11/25/2025","89.153","89.148","89.274","88.979","","0.01%"
"11/24/2025","89.148","89.527","89.538","89.063","","-0.55%"
"11/21/2025","89.641","88.692","89.734","88.602","","1.04%"
"11/20/2025","88.715","88.487","88.763","88.483","","0.25%"
"11/19/2025","88.492","88.557","88.623","88.416","","-0.07%"
"11/18/2025","88.552","88.610","88.697","88.495","","-0.09%"
"11/17/2025","88.636","88.705","88.748","88.559","","-0.06%"
"11/14/2025","88.689","88.777","88.808","88.636","","-0.14%"
"11/13/2025","88.817","88.590","88.831","88.582","","0.26%"
"11/12/2025","88.590","88.501","88.663","88.499","","0.14%"
"11/11/2025","88.467","88.707","88.726","88.421","","-0.27%"
"11/10/2025","88.707","88.650","88.746","88.623","","0.05%"
"11/07/2025","88.665","88.625","88.731","88.590","","-0.01%"
"11/06/2025","88.673","88.632","88.693","88.459","","0.13%"
"11/05/2025","88.557","88.710","88.774","88.545","","-0.20%"
"11/04/2025","88.732","88.722","88.779","88.332","","0.01%"
"11/03/2025","88.724","88.722","88.806","88.697","","-0.05%"
"10/31/2025","88.769","88.637","88.814","88.566","","0.15%"
"10/30/2025","88.632","88.314","88.765","88.308","","0.25%"
"10/29/2025","88.408","88.232","88.493","88.141","","0.20%"
"10/28/2025","88.234","88.223","88.423","88.160","","0.01%"
"10/27/2025","88.225","87.786","88.311","87.785","","0.44%"
"10/24/2025","87.836","87.777","87.889","87.630","","0.06%"
"10/23/2025","87.779","87.716","87.964","87.716","","0.04%"
"10/22/2025","87.740","88.003","88.003","87.612","","-0.32%"
"10/21/2025","88.021","87.880","88.092","87.880","","0.17%"
"10/20/2025","87.875","87.956","88.012","87.738","","-0.15%"
"10/17/2025","88.003","87.939","88.119","87.716","","0.01%"
"10/16/2025","87.991","87.754","88.058","87.611","","0.21%"
"10/15/2025","87.810","88.729","88.799","87.809","","-1.09%"
"10/14/2025","88.782","88.683","88.827","88.627","","0.13%"
"10/13/2025","88.665","88.726","88.798","88.564","","-0.10%"
"10/10/2025","88.757","88.817","88.826","88.494","","-0.12%"
"10/09/2025","88.866","88.778","88.877","88.694","","0.12%"
"10/08/2025","88.760","88.759","88.824","88.725","","0.02%"
"10/07/2025","88.739","88.721","88.785","88.691","","0.02%"
"10/06/2025","88.721","88.763","88.839","88.695","","-0.02%"
"10/03/2025","88.735","88.749","88.816","88.664","","0.02%"
"10/02/2025","88.720","88.669","88.883","88.585","","0.04%"
"10/01/2025","88.683","88.786","88.856","88.612","","-0.18%"
"09/30/2025","88.841","88.738","88.877","88.673","","0.15%"
"09/29/2025","88.704","88.661","88.802","88.624","","0.03%"
"09/26/2025","88.677","88.774","88.792","88.638","","-0.10%"
"09/25/2025","88.768","88.732","88.818","88.599","","-0.01%"
"09/24/2025","88.777","88.790","88.939","88.673","","-0.03%"
"09/23/2025","88.808","88.304","88.821","88.256","","0.57%"
"09/22/2025","88.303","88.181","88.346","88.116","","0.23%"
"09/19/2025","88.100","88.207","88.343","88.052","","-0.12%"
"09/18/2025","88.206","87.891","88.291","87.834","","0.53%"
"09/17/2025","87.745","87.879","87.910","87.662","","-0.16%"
"09/16/2025","87.883","88.069","88.160","87.878","","-0.27%"
"09/15/2025","88.122","88.279","88.302","88.115","","-0.18%"
"09/12/2025","88.277","88.298","88.431","88.232","","0.01%"
"09/11/2025","88.267","88.105","88.499","88.084","","0.24%"
"09/10/2025","88.054","88.220","88.267","88.021","","-0.22%"
"09/09/2025","88.248","88.002","88.261","87.949","","0.30%"
"09/08/2025","87.981","88.153","88.196","87.922","","-0.23%"
"09/05/2025","88.187","88.125","88.367","88.069","","-0.01%"
"09/04/2025","88.193","88.079","88.220","87.999","","0.14%"
"09/03/2025","88.073","88.045","88.195","87.975","","0.09%"
"09/02/2025","87.998","87.985","88.206","87.825","","0.00%"
"09/01/2025","88.001","88.175","88.343","87.931","","-0.20%"
"08/29/2025","88.174","87.591","88.313","87.575","","0.67%"
"08/28/2025","87.591","87.659","87.696","87.520","","-0.08%"
"08/27/2025","87.661","87.674","87.883","87.607","","0.03%"
"08/26/2025","87.635","87.623","87.805","87.582","","0.03%"
"08/25/2025","87.608","87.310","87.623","87.274","","0.32%"
"08/22/2025","87.331","87.266","87.551","87.179","","0.04%"
"08/21/2025","87.294","87.023","87.343","86.926","","0.32%"
"08/20/2025","87.018","87.073","87.171","86.980","","-0.06%"
"08/19/2025","87.070","87.297","87.382","86.921","","-0.28%"
"08/18/2025","87.311","87.545","87.559","87.296","","-0.23%"
"08/15/2025","87.513","87.692","87.694","87.410","","-0.20%"
"08/14/2025","87.691","87.471","87.700","87.385","","0.28%"
"08/13/2025","87.450","87.595","87.727","87.380","","-0.18%"
"08/12/2025","87.606","87.656","87.761","87.575","","-0.06%"
"08/11/2025","87.660","87.541","87.763","87.472","","0.20%"
"08/08/2025","87.489","87.435","87.759","87.435","","0.05%"
"08/07/2025","87.446","87.715","87.798","87.345","","-0.32%"
"08/06/2025","87.725","87.785","87.851","87.629","","-0.12%"
"08/05/2025","87.830","87.977","87.977","87.736","","0.17%"
"08/04/2025","87.680","87.284","87.727","87.155","","0.50%"
"08/01/2025","87.245","87.490","87.673","87.170","","-0.32%"
"07/31/2025","87.524","87.715","87.796","87.501","","-0.19%"
"07/30/2025","87.691","87.058","87.846","87.050","","0.67%"
"07/29/2025","87.108","86.770","87.108","86.735","","0.47%"
"07/28/2025","86.697","86.481","86.725","86.402","","0.22%"
"07/25/2025","86.503","86.432","86.641","86.405","","0.14%"
"07/24/2025","86.380","86.401","86.445","86.241","","0.00%"
"07/23/2025","86.380","86.328","86.471","86.284","","0.07%"
"07/22/2025","86.322","86.195","86.441","86.180","","0.15%"
"07/21/2025","86.195","86.134","86.362","86.132","","0.05%"
"07/18/2025","86.150","86.010","86.244","85.972","","0.13%"
"07/17/2025","86.035","85.922","86.136","85.796","","0.17%"
"07/16/2025","85.885","85.959","86.081","85.733","","-0.12%"
"07/15/2025","85.991","86.009","86.032","85.742","","-0.03%"
"07/14/2025","86.017","85.824","86.062","85.810","","0.22%"
"07/11/2025","85.825","85.735","85.921","85.690","","0.09%"
"07/10/2025","85.749","85.715","85.766","85.533","","0.08%"
"07/09/2025","85.680","85.760","85.932","85.637","","-0.09%"
"07/08/2025","85.760","85.778","85.835","85.632","","0.00%"
"07/07/2025","85.760","85.575","86.043","85.575","","0.31%"
"07/04/2025","85.497","85.480","85.535","85.307","","0.07%"
"07/03/2025","85.433","85.559","85.708","85.183","","-0.22%"
"07/02/2025","85.625","85.617","85.772","85.566","","-0.01%"
"07/01/2025","85.630","85.700","85.700","85.457","","-0.08%"
"06/30/2025","85.700","85.479","85.845","85.441","","0.29%"
"06/27/2025","85.455","85.640","85.681","85.422","","-0.22%"
"06/26/2025","85.640","86.021","86.055","85.614","","-0.46%"
"06/25/2025","86.040","85.937","86.148","85.791","","0.11%"
"06/24/2025","85.944","86.157","86.265","85.899","","-0.73%"
"06/23/2025","86.580","86.788","86.871","86.571","","0.00%"
"06/20/2025","86.580","86.684","86.698","86.530","","-0.30%"
"06/19/2025","86.840","86.416","86.916","86.416","","0.47%"
"06/18/2025","86.430","86.315","86.573","86.263","","0.13%"
"06/17/2025","86.318","86.030","86.404","85.890","","0.55%"
"06/16/2025","85.846","86.149","86.260","85.782","","-0.30%"
"06/13/2025","86.108","86.164","86.217","85.924","","0.62%"
"06/12/2025","85.581","85.470","85.665","85.401","","0.13%"
"06/11/2025","85.468","85.560","85.631","85.412","","-0.15%"
"06/10/2025","85.596","85.666","85.695","85.505","","-0.09%"
"06/09/2025","85.670","85.803","85.813","85.466","","-0.14%"
"06/06/2025","85.786","85.838","86.005","85.621","","-0.06%"
"06/05/2025","85.835","85.849","85.978","85.663","","-0.05%"
"06/04/2025","85.875","85.692","86.045","85.651","","0.19%"
"06/03/2025","85.709","85.392","85.709","85.359","","0.42%"
"06/02/2025","85.354","85.504","85.594","85.292","","-0.20%"
"05/30/2025","85.525","85.368","85.653","85.248","","0.12%"
"05/29/2025","85.419","85.557","85.620","85.386","","0.01%"
"05/28/2025","85.414","85.519","85.737","85.321","","0.10%"
"05/27/2025","85.330","85.075","85.464","85.040","","0.28%"
"05/26/2025","85.088","85.037","85.184","84.785","","-0.13%"
"05/23/2025","85.200","85.953","86.045","85.111","","-0.92%"
"05/22/2025","85.995","85.609","86.115","85.530","","0.46%"
"05/21/2025","85.600","85.537","85.702","85.486","","0.07%"
"05/20/2025","85.540","85.370","85.659","85.344","","0.18%"
"05/19/2025","85.390","85.463","85.640","85.336","","-0.13%"
"05/16/2025","85.500","85.445","85.700","85.252","","-0.05%"
"05/15/2025","85.546","85.400","85.741","85.348","","0.18%"
"05/14/2025","85.395","85.038","85.522","85.006","","0.14%"
"05/13/2025","85.275","84.838","85.480","84.630","","0.46%"
"05/12/2025","84.885","84.695","84.959","84.592","","-0.61%"
"05/09/2025","85.409","85.884","85.952","85.284","","-0.15%"
"05/08/2025","85.536","84.778","85.810","84.528","","0.96%"
"05/07/2025","84.721","84.647","84.909","84.473","","0.49%"
"05/06/2025","84.305","84.370","84.637","84.250","","0.01%"
"05/05/2025","84.295","84.491","84.525","84.114","","-0.27%"
"05/02/2025","84.527","84.657","84.685","83.765","","-0.07%"
"05/01/2025","84.590","84.609","84.745","84.552","","-0.01%"
"04/30/2025","84.599","85.220","85.268","84.466","","-0.65%"
"04/29/2025","85.155","85.160","85.408","84.945","","-0.01%"
"04/28/2025","85.163","85.382","85.419","84.949","","-0.26%"
"04/25/2025","85.385","85.293","85.660","85.085","","0.07%"
"04/24/2025","85.326","85.515","85.671","85.239","","-0.03%"
"04/23/2025","85.350","85.221","85.533","85.208","","0.20%"
"04/22/2025","85.180","85.159","85.239","85.049","","0.01%"
"04/21/2025","85.170","85.378","85.379","85.025","","-0.30%"
"04/18/2025","85.429","85.409","85.505","85.390","","0.06%"
"04/17/2025","85.380","85.602","85.631","85.313","","-0.24%"
"04/16/2025","85.587","85.713","85.773","85.515","","-0.11%"
"04/15/2025","85.681","86.023","86.023","85.585","","-0.40%"
"04/14/2025","86.021","86.036","86.110","85.869","","-0.20%"
"04/11/2025","86.190","86.244","86.269","85.935","","0.00%"
"04/10/2025","86.190","86.146","86.334","86.118","","-0.53%"
"04/09/2025","86.650","86.353","86.751","86.353","","0.48%"
"04/08/2025","86.240","85.943","86.306","85.812","","0.45%"
"04/07/2025","85.854","85.611","85.913","85.568","","0.41%"
"04/04/2025","85.502","85.282","85.641","84.932","","0.30%"
"04/03/2025","85.247","85.804","85.813","85.203","","-0.24%"
"04/02/2025","85.450","85.611","85.726","85.432","","-0.14%"
"04/01/2025","85.570","85.459","85.660","85.451","","0.14%"
"03/31/2025","85.450","85.459","85.558","85.417","","-0.10%"
"03/28/2025","85.534","85.680","85.739","85.403","","-0.12%"
"03/27/2025","85.640","85.795","85.915","85.625","","0.02%"
"03/26/2025","85.625","85.616","85.895","85.596","","0.05%"
"03/25/2025","85.583","85.532","85.830","85.531","","0.03%"
"03/24/2025","85.560","85.990","86.046","85.475","","-0.50%"
"03/21/2025","85.990","86.325","86.344","85.916","","-0.38%"
"03/20/2025","86.320","86.337","86.418","86.185","","0.01%"
"03/19/2025","86.310","86.574","86.675","86.301","","-0.23%"
"03/18/2025","86.510","86.659","86.783","86.509","","-0.21%"
"03/17/2025","86.690","86.957","86.973","86.691","","-0.29%"
"03/14/2025","86.941","86.923","87.004","86.871","","0.05%"
"03/13/2025","86.897","87.153","87.201","86.923","","-0.29%"
"03/12/2025","87.150","87.183","87.311","87.149","","-0.03%"
"03/11/2025","87.176","87.332","87.390","87.141","","-0.13%"
"03/10/2025","87.290","87.139","87.381","87.138","","0.22%"
"03/07/2025","87.100","87.149","87.220","86.857","","0.10%"
"03/06/2025","87.011","86.872","87.166","86.868","","0.15%"
"03/05/2025","86.880","87.271","87.346","86.876","","-0.43%"
"03/04/2025","87.255","87.334","87.408","87.134","","-0.01%"
"03/03/2025","87.260","87.449","87.449","87.239","","-0.24%"
"02/28/2025","87.466","87.320","87.559","87.266","","0.16%"
"02/27/2025","87.330","87.108","87.427","87.106","","0.25%"
"02/26/2025","87.113","87.086","87.192","87.014","","-0.02%"
"02/25/2025","87.130","86.698","87.263","86.674","","0.54%"
"02/24/2025","86.660","86.655","86.762","86.506","","0.10%"
"02/21/2025","86.572","86.509","86.779","86.456","","0.01%"
"02/20/2025","86.561","86.902","86.926","86.542","","-0.38%"
"02/19/2025","86.890","86.925","86.958","86.815","","0.03%"
"02/18/2025","86.867","86.855","86.987","86.837","","0.07%"
"02/17/2025","86.809","86.676","86.908","86.632","","0.22%"
"02/14/2025","86.620","86.779","86.905","86.562","","-0.08%"
"02/13/2025","86.690","86.950","87.014","86.693","","-0.24%"
"02/12/2025","86.900","86.796","87.034","86.327","","0.13%"
"02/11/2025","86.789","87.476","87.566","86.639","","-0.78%"
"02/10/2025","87.469","87.994","87.997","87.429","","-0.18%"
"02/07/2025","87.627","87.598","87.655","87.309","","0.05%"
"02/06/2025","87.580","87.336","87.676","87.334","","0.28%"
"02/05/2025","87.336","87.075","87.501","87.075","","0.31%"
"02/04/2025","87.070","86.977","87.142","86.948","","0.13%"
"02/03/2025","86.960","86.916","87.305","86.892","","0.49%"
"01/31/2025","86.536","86.667","86.682","86.550","","-0.01%"
"01/30/2025","86.545","86.553","86.661","86.536","","-0.10%"
"01/29/2025","86.630","86.566","86.648","86.485","","0.05%"
"01/28/2025","86.584","86.395","86.596","86.391","","0.27%"
"01/27/2025","86.350","86.244","86.459","86.234","","0.17%"
"01/24/2025","86.200","86.453","86.478","86.150","","-0.27%"
"01/23/2025","86.430","86.475","86.531","86.370","","-0.02%"
"01/22/2025","86.450","86.452","86.601","86.297","","0.00%"
"01/21/2025","86.452","86.211","86.623","86.211","","0.28%"
"01/20/2025","86.209","86.564","86.584","86.201","","-0.42%"
"01/17/2025","86.571","86.610","86.671","86.521","","0.00%"
"01/16/2025","86.570","86.438","86.648","86.382","","0.22%"
"01/15/2025","86.380","86.532","86.599","86.298","","-0.17%"
"01/14/2025","86.525","86.651","86.723","86.470","","-0.14%"
"01/13/2025","86.646","86.178","86.729","86.094","","0.56%"
"01/10/2025","86.165","85.922","86.195","85.855","","0.32%"
"01/09/2025","85.890","85.922","85.947","85.830","","-0.03%"
"01/08/2025","85.917","85.775","85.943","85.770","","0.13%"
"01/07/2025","85.803","85.705","85.813","85.649","","0.12%"
"01/06/2025","85.700","85.816","85.855","85.601","","-0.07%"
"01/03/2025","85.761","85.836","85.836","85.705","","0.00%"
"01/02/2025","85.760","85.652","85.798","85.628","","0.13%"
"01/01/2025","85.645","85.625","85.716","85.625","","0.11%"
"12/31/2024","85.554","85.538","85.687","85.516","","0.09%"
"12/30/2024","85.474","85.437","85.605","85.426","","0.10%"
"12/27/2024","85.388","85.253","85.823","85.229","","0.16%"
"12/26/2024","85.254","85.201","85.319","85.195","","0.07%"
"12/25/2024","85.198","85.181","85.210","85.156","","0.03%"
"12/24/2024","85.176","85.100","85.218","85.075","","0.10%"
"12/23/2024","85.095","84.960","85.141","84.924","","0.17%"
"12/20/2024","84.947","85.113","85.113","84.941","","-0.17%"
"12/19/2024","85.088","85.035","85.148","84.992","","0.26%"
"12/18/2024","84.867","84.907","84.975","84.840","","-0.04%"
"12/17/2024","84.902","84.882","84.955","84.877","","0.01%"
"12/16/2024","84.890","84.846","84.930","84.794","","0.13%"
"12/13/2024","84.782","84.828","84.896","84.766","","-0.05%"
"12/12/2024","84.825","84.847","84.902","84.823","","0.04%"
"12/11/2024","84.795","84.891","84.919","84.799","","-0.10%"
"12/10/2024","84.880","84.848","84.914","84.775","","0.06%"
"12/09/2024","84.829","84.704","84.914","84.675","","0.19%"
"12/06/2024","84.668","84.685","84.718","84.529","","-0.02%"
"12/05/2024","84.684","84.713","84.757","84.673","","-0.01%"
"12/04/2024","84.693","84.690","84.776","84.644","","0.02%"
"12/03/2024","84.676","84.726","84.800","84.630","","-0.08%"
"12/02/2024","84.740","84.572","84.761","84.560","","0.21%"
"11/29/2024","84.559","84.476","84.640","84.459","","0.13%"
"11/28/2024","84.445","84.441","84.524","84.432","","0.04%"
"11/27/2024","84.410","84.318","84.479","84.315","","0.11%"
"11/26/2024","84.319","84.271","84.366","84.225","","0.07%"
"11/25/2024","84.260","84.408","84.438","84.238","","-0.20%"
"11/22/2024","84.426","84.500","84.523","84.401","","-0.08%"
"11/21/2024","84.495","84.367","84.522","84.359","","0.16%"
"11/20/2024","84.360","84.411","84.419","84.340","","-0.04%"
"11/19/2024","84.390","84.402","84.440","84.371","","-0.01%"
"11/18/2024","84.398","84.444","84.461","84.371","","-0.03%"
"11/15/2024","84.424","84.473","84.483","84.411","","-0.04%"
"11/14/2024","84.461","84.422","84.490","84.384","","0.05%"
"11/13/2024","84.416","84.380","84.432","84.360","","0.04%"
"11/12/2024","84.380","84.381","84.428","84.364","","0.00%"
"11/11/2024","84.379","84.375","84.429","84.357","","-0.02%"
"11/08/2024","84.395","84.312","84.401","84.302","","0.12%"
"11/07/2024","84.293","84.311","84.395","84.260","","-0.02%"
"11/06/2024","84.310","84.115","84.355","84.115","","0.24%"
"11/05/2024","84.109","84.151","84.180","84.088","","-0.02%"
"11/04/2024","84.130","84.057","84.149","84.051","","0.06%"
"11/01/2024","84.080","84.078","84.111","84.038","","0.02%"
"10/31/2024","84.061","84.094","84.142","84.060","","-0.02%"
"10/30/2024","84.080","84.063","84.110","84.056","","0.04%"
"10/29/2024","84.050","84.092","84.102","84.043","","-0.01%"
"10/28/2024","84.060","84.087","84.100","84.054","","-0.04%"
"10/25/2024","84.095","84.089","84.110","84.055","","0.05%"
"10/24/2024","84.050","84.093","84.100","84.050","","-0.01%"
"10/23/2024","84.056","84.108","84.115","84.056","","-0.02%"
"10/22/2024","84.070","84.075","84.104","84.054","","0.00%"
"10/21/2024","84.070","84.080","84.094","84.037","","0.01%"
"10/18/2024","84.065","84.045","84.092","84.028","","0.04%"
"10/17/2024","84.035","84.043","84.083","83.995","","0.01%"
"10/16/2024","84.030","84.052","84.103","83.975","","-0.01%"
"10/15/2024","84.040","84.065","84.087","84.015","","-0.01%"
"10/14/2024","84.045","84.070","84.105","84.021","","-0.07%"
"10/11/2024","84.101","83.965","84.121","83.942","","0.19%"
"10/10/2024","83.940","83.939","83.992","83.930","","-0.01%"
"10/09/2024","83.950","83.938","83.980","83.893","","0.01%"
"10/08/2024","83.945","83.969","83.996","83.915","","-0.04%"
"10/07/2024","83.980","84.007","84.018","83.945","","-0.05%"
"10/04/2024","84.023","83.977","84.050","83.938","","0.04%"
"10/03/2024","83.990","83.927","84.036","83.895","","0.08%"
"10/02/2024","83.920","83.908","84.012","83.849","","0.02%"
"10/01/2024","83.900","83.851","83.951","83.786","","0.17%"
"09/30/2024","83.755","83.696","83.836","83.670","","0.05%"
"09/27/2024","83.710","83.622","83.725","83.598","","0.13%"
